# Neural Network Architecture Sweep Results
# Export Date: 2025-08-03 18:49:46
# Dataset: Boston Housing (Boston_Housing.csv)
# Output Variables: MEDV
# Total Configurations: 40

ID,Architecture,Epoch,MEDV_R2,Max_R2,Best_Epoch,Optimal_Stop,Status
33,7x6x5,25000,93.31,93.50,20500,24600,Completed
40,13x7,25000,85.10,93.33,12000,14400,Completed
22,6x5x6,25000,92.47,92.92,22500,27000,Completed
27,6x7x5,25000,92.89,92.89,25000,30000,Completed
36,7x7x5,25000,92.68,92.87,13000,15600,Completed
35,7x6x7,25000,91.18,92.81,13000,15600,Completed
32,7x5x7,25000,88.68,92.80,8000,9600,Completed
34,7x6x6,25000,80.39,92.69,17500,21000,Completed
29,6x7x7,25000,91.99,92.65,12000,14400,Completed
42,13x11,25000,91.95,91.95,25000,30000,Completed
31,7x5x6,25000,77.70,91.84,12500,15000,Completed
4,13x5,25000,91.68,91.68,25000,30000,Completed
15,5x6x5,25000,66.21,91.48,6000,7200,Completed
5,13x13,25000,79.42,91.01,10000,12000,Completed
16,5x6x6,25000,89.48,90.97,10500,12600,Completed
20,5x7x7,25000,86.24,90.92,15500,18600,Completed
23,6x5x7,25000,82.15,90.85,8000,9600,Completed
28,6x7x6,25000,70.37,90.55,7500,9000,Completed
26,6x6x7,25000,89.87,90.42,22500,27000,Completed
30,7x5x5,25000,90.41,90.41,25000,30000,Completed
14,5x5x7,25000,79.67,89.33,12500,15000,Completed
9,19,25000,88.27,88.77,15000,18000,Completed
8,18,25000,85.06,88.42,13000,15600,Completed
18,5x7x5,25000,86.73,88.35,16500,19800,Completed
13,5x5x6,25000,88.07,88.11,24500,29400,Completed
7,17,25000,87.58,87.58,25000,30000,Completed
25,6x6x6,25000,85.49,87.51,12000,14400,Completed
24,6x6x5,25000,72.73,86.39,7500,9000,Completed
12,5x5x5,25000,75.82,86.35,13000,15600,Completed
10,100,25000,85.59,86.34,7000,8400,Completed
6,16,25000,85.41,85.47,16500,19800,Completed
11,200,25000,85.42,85.42,25000,30000,Completed
1,13,25000,81.06,85.32,12000,14400,Completed
39,13x3,25000,82.82,84.75,6000,7200,Completed
37,7x7x6,25000,75.43,84.44,11500,13800,Completed
3,5x13,25000,77.83,84.40,12500,15000,Completed
41,13x9,25000,73.02,83.37,4500,5400,Completed
2,5x5,25000,80.84,82.19,9500,11400,Completed
17,5x6x7,25000,20.99,78.94,9500,11400,Completed
0,5,25000,73.38,74.79,13500,16200,Completed

# Summary Statistics
Total Configurations,40
Completed,40
Training,0
Waiting,0
Paused,0
Errors,0
