Epoch	Loss_Value	Smoothed_Trend
1	1.9446949556e-01	1.9443051555e-01
2	1.9345387166e-01	1.9360096893e-01
3	1.9235362907e-01	1.9260748190e-01
4	1.9116378794e-01	1.9145605203e-01
5	1.8987868342e-01	1.9015267687e-01
6	1.8849255156e-01	1.8870335400e-01
7	1.8699916097e-01	1.8711408098e-01
8	1.8539187778e-01	1.8539085538e-01
9	1.8366423056e-01	1.8353967476e-01
10	1.8181072562e-01	1.8156653669e-01
11	1.7982724600e-01	1.7947743873e-01
12	1.7771059344e-01	1.7727837846e-01
13	1.7545854772e-01	1.7497535343e-01
14	1.7307014824e-01	1.7257436121e-01
15	1.7054884836e-01	1.7008139938e-01
16	1.6790590802e-01	1.6750246549e-01
17	1.6515823611e-01	1.6484355711e-01
18	1.6232057054e-01	1.6211067180e-01
19	1.5940534014e-01	1.5930980714e-01
20	1.5642604149e-01	1.5644696069e-01
21	1.5339537133e-01	1.5352813001e-01
22	1.5032516831e-01	1.5055931268e-01
23	1.4722712232e-01	1.4754650625e-01
24	1.4411027558e-01	1.4449570829e-01
25	1.4098163990e-01	1.4141291637e-01
26	1.3784718861e-01	1.3830412806e-01
27	1.3471210283e-01	1.3520782328e-01
28	1.3158124144e-01	1.3209720069e-01
29	1.2845946800e-01	1.2897947235e-01
30	1.2535088480e-01	1.2586178430e-01
31	1.2225991641e-01	1.2275113158e-01
32	1.1919010025e-01	1.1965428322e-01
33	1.1614504022e-01	1.1657769551e-01
34	1.1312773219e-01	1.1352742502e-01
35	1.1014099381e-01	1.1050905653e-01
36	1.0718748259e-01	1.0752765434e-01
37	1.0427038211e-01	1.0458773151e-01
38	1.0139293103e-01	1.0169320908e-01
39	9.8558842140e-02	9.8847380493e-02
40	9.5771890441e-02	9.6052890063e-02
41	9.3035060727e-02	9.3311817878e-02
42	9.0351155169e-02	9.0625904080e-02
43	8.7722576645e-02	8.7996748284e-02
44	8.5151231235e-02	8.5425797199e-02
45	8.2638892757e-02	8.2914315226e-02
46	8.0187328172e-02	8.0463450725e-02
47	7.7797977745e-02	7.8074254087e-02
48	7.5472197433e-02	7.5747692343e-02
49	7.3211204694e-02	7.3484681892e-02
50	7.1016171121e-02	7.1286044833e-02
51	6.8887933719e-02	6.9152471693e-02
52	6.6826913301e-02	6.7084506219e-02
53	6.4833375333e-02	6.5082533027e-02
54	6.2907332305e-02	6.3146776964e-02
55	6.1048512316e-02	6.1277315535e-02
56	5.9256527574e-02	5.9474066721e-02
57	5.7530994506e-02	5.7736808332e-02
58	5.5871460826e-02	5.6065162087e-02
59	5.4277327006e-02	5.4458604195e-02
60	5.2747801735e-02	5.2916455973e-02
61	5.1281966761e-02	5.1437885550e-02
62	4.9878729547e-02	5.0021910570e-02
63	4.8536880171e-02	4.8667423502e-02
64	4.7255123273e-02	4.7373206032e-02
65	4.6032081491e-02	4.6137958256e-02
66	4.4866394068e-02	4.4960318924e-02
67	4.3756616355e-02	4.3838860140e-02
68	4.2701309261e-02	4.2772097981e-02
69	4.1698857579e-02	4.1758496179e-02
70	4.0747570848e-02	4.0796465458e-02
71	3.9845803771e-02	3.9884372879e-02
72	3.8991863535e-02	3.9020555381e-02
73	3.8184006956e-02	3.8203323694e-02
74	3.7420542428e-02	3.7430973220e-02
75	3.6699749601e-02	3.6701793364e-02
76	3.6019901575e-02	3.6014079738e-02
77	3.5379276403e-02	3.5366137599e-02
78	3.4776190476e-02	3.4756281482e-02
